run_id,epoch,train_loss,val_loss,val_mae,val_rmse,monitor_metric,monitor_score,best_epoch
thp_20260504T003317Z,1,0.14660750641489584,0.23460510576733892,158.04226684570312,986.9366455078125,mae,158.04226684570312,1
thp_20260504T003317Z,2,0.08866472827286169,0.1825641689304768,125.3680648803711,776.60986328125,mae,125.3680648803711,2
thp_20260504T003317Z,3,0.04599682309519859,0.16299893028749865,118.48831939697266,758.046142578125,mae,118.48831939697266,3
thp_20260504T003317Z,4,0.03010327450736382,0.15279470853170357,116.24748229980469,740.4764404296875,mae,116.24748229980469,4
thp_20260504T003317Z,5,0.015185507483531703,0.13891322504871167,104.78690338134766,706.0972290039062,mae,104.78690338134766,5
thp_20260504T003317Z,6,0.0028599221911049574,0.1412156937642233,108.98641204833984,743.8330688476562,mae,108.98641204833984,5
thp_20260504T003317Z,7,-0.005246731704800379,0.12215861299975107,90.18163299560547,659.8082885742188,mae,90.18163299560547,7
thp_20260504T003317Z,8,-0.010647624306712867,0.12470743414460819,90.2323989868164,662.1233520507812,mae,90.2323989868164,7
thp_20260504T003317Z,9,-0.014416982535266838,0.12772895516075702,95.5558853149414,687.9617309570312,mae,95.5558853149414,7
thp_20260504T003317Z,10,-0.016681094833801983,0.12561349581328768,92.54568481445312,682.4932861328125,mae,92.54568481445312,7
thp_20260504T003317Z,11,-0.018626954553880876,0.13163058632966576,92.89454650878906,672.9918212890625,mae,92.89454650878906,7
thp_20260504T003317Z,12,-0.019989833920905586,0.1246938201687245,86.59432220458984,628.5674438476562,mae,86.59432220458984,12
thp_20260504T003317Z,13,-0.021310050353105736,0.13762752703839737,98.65510559082031,700.6583251953125,mae,98.65510559082031,12
thp_20260504T003317Z,14,-0.022614818241416125,0.12955301688007265,92.22513580322266,674.1314086914062,mae,92.22513580322266,12
thp_20260504T003317Z,15,-0.0236004238917959,0.1297183584722673,91.06959533691406,672.2879638671875,mae,91.06959533691406,12
thp_20260504T003317Z,16,-0.02489870461174334,0.14053188643840528,96.19389343261719,693.3999633789062,mae,96.19389343261719,12
thp_20260504T003317Z,17,-0.02584117466234551,0.13080656963475742,90.43346405029297,664.8153076171875,mae,90.43346405029297,12
thp_20260504T003317Z,18,-0.026754362089279945,0.12470208573838516,85.63777923583984,629.2150268554688,mae,85.63777923583984,18
thp_20260504T003317Z,19,-0.027793302941797982,0.1287603999331871,86.28485870361328,634.2660522460938,mae,86.28485870361328,18
thp_20260504T003317Z,20,-0.028546268250610525,0.13183952549335273,88.08467864990234,630.064208984375,mae,88.08467864990234,18
thp_20260504T003317Z,21,-0.029774303487844926,0.13170136747999114,88.35248565673828,651.6561889648438,mae,88.35248565673828,18
thp_20260504T003317Z,22,-0.03075962678435658,0.12976562833378774,86.03677368164062,607.3408203125,mae,86.03677368164062,18
thp_20260504T003317Z,23,-0.03141770536406395,0.13142285763162925,86.80606079101562,635.9877319335938,mae,86.80606079101562,18
thp_20260504T003317Z,24,-0.032521657515499895,0.13166810879227644,89.46409606933594,651.06201171875,mae,89.46409606933594,18
thp_20260504T003317Z,25,-0.033282976277699376,0.13437056525576507,88.78479766845703,642.2047729492188,mae,88.78479766845703,18
thp_20260504T003317Z,26,-0.03400393266349026,0.14544955808289198,94.34758758544922,672.4622192382812,mae,94.34758758544922,18
thp_20260504T003317Z,27,-0.03484209782499907,0.1387610850126847,91.04217529296875,651.6868896484375,mae,91.04217529296875,18
thp_20260504T003317Z,28,-0.03567573219993648,0.13647900515144232,89.40570068359375,638.6017456054688,mae,89.40570068359375,18
thp_20260504T003317Z,29,-0.036572087165243655,0.1382305005295888,90.5276870727539,645.3433227539062,mae,90.5276870727539,18
thp_20260504T003317Z,30,-0.03738216974240387,0.13914062807331493,89.791259765625,643.7252197265625,mae,89.791259765625,18
thp_20260504T003317Z,31,-0.03811102205252921,0.1471701809391049,93.2881088256836,660.8764038085938,mae,93.2881088256836,18
thp_20260504T003317Z,32,-0.03870074766741357,0.15172240926083358,97.89778137207031,686.005615234375,mae,97.89778137207031,18
thp_20260504T003317Z,33,-0.03955561601541636,0.14737309757438294,92.39948272705078,656.9713745117188,mae,92.39948272705078,18
thp_20260504T003317Z,34,-0.04024476481723209,0.14129438660476942,89.615478515625,623.5385131835938,mae,89.615478515625,18
thp_20260504T003317Z,35,-0.04093618787235583,0.14298955136257246,91.45043182373047,647.1520385742188,mae,91.45043182373047,18
thp_20260504T003317Z,36,-0.041647850850613656,0.14006930951957905,89.42932891845703,642.6077270507812,mae,89.42932891845703,18
thp_20260504T003317Z,37,-0.042219631911598034,0.14633642574036768,93.45215606689453,654.6614379882812,mae,93.45215606689453,18
thp_20260504T003317Z,38,-0.04289473898418779,0.1400003050319262,90.09989929199219,638.9882202148438,mae,90.09989929199219,18
thp_20260504T003317Z,39,-0.043637525245941035,0.14156327247884068,91.40147399902344,642.1434326171875,mae,91.40147399902344,18
thp_20260504T003317Z,40,-0.04432669729065265,0.14107118339377794,90.83395385742188,633.90771484375,mae,90.83395385742188,18
thp_20260504T003317Z,41,-0.044551573370495694,0.14746099715422717,94.45695495605469,660.2611083984375,mae,94.45695495605469,18
thp_20260504T003317Z,42,-0.04550939916423519,0.14617301232802096,96.4880599975586,674.2642822265625,mae,96.4880599975586,18
thp_20260504T003317Z,43,-0.04603999459909068,0.15134579506508525,97.03965759277344,681.0542602539062,mae,97.03965759277344,18
thp_20260504T003317Z,44,-0.04651863727626359,0.15491869974263284,95.16341400146484,655.8209228515625,mae,95.16341400146484,18
thp_20260504T003317Z,45,-0.04717865134839554,0.14574016524212702,94.46141052246094,662.1012573242188,mae,94.46141052246094,18
thp_20260504T003317Z,46,-0.04770488141830168,0.14673021664477706,91.4298095703125,634.9013061523438,mae,91.4298095703125,18
thp_20260504T003317Z,47,-0.048211542957371976,0.15415685726354475,98.9754409790039,681.8356323242188,mae,98.9754409790039,18
thp_20260504T003317Z,48,-0.04883670497957256,0.1570871663812842,96.4361343383789,664.9255981445312,mae,96.4361343383789,18
thp_20260504T003317Z,49,-0.049286504751761884,0.15652982987126313,94.63019561767578,659.0630493164062,mae,94.63019561767578,18
