run_id,epoch,train_loss,val_loss,val_mae,val_rmse,monitor_metric,monitor_score,best_epoch
thp_20260426T060539Z,1,-0.009658870388538436,-0.05470898528951084,179.79493713378906,1131.6165771484375,mae,179.79493713378906,1
thp_20260426T060539Z,2,-0.08716696367658104,-0.054124722252298266,189.7425537109375,1275.3494873046875,mae,189.7425537109375,1
thp_20260426T060539Z,3,-0.089991427980371,-0.05410451004025464,192.530029296875,1261.2713623046875,mae,192.530029296875,1
thp_20260426T060539Z,4,-0.09348572720599688,-0.05770599597465072,183.27452087402344,1171.283447265625,mae,183.27452087402344,1
thp_20260426T060539Z,5,-0.09610224626996544,-0.06144809434330876,173.84149169921875,1186.0081787109375,mae,173.84149169921875,5
thp_20260426T060539Z,6,-0.09711698545114378,-0.06542947596168772,155.1084747314453,973.8259887695312,mae,155.1084747314453,6
thp_20260426T060539Z,7,-0.09772965412130469,-0.06055651423327142,173.25599670410156,1147.572021484375,mae,173.25599670410156,6
thp_20260426T060539Z,8,-0.09827358782718967,-0.05886382247323787,183.8311004638672,1237.7099609375,mae,183.8311004638672,6
thp_20260426T060539Z,9,-0.09884231308860426,-0.060880811463548956,176.4676513671875,1123.1160888671875,mae,176.4676513671875,6
thp_20260426T060539Z,10,-0.09933684179495271,-0.06502867444437377,162.4635772705078,1080.720458984375,mae,162.4635772705078,6
thp_20260426T060539Z,11,-0.10014034010706596,-0.06410268420550208,164.7047882080078,1085.1824951171875,mae,164.7047882080078,6
thp_20260426T060539Z,12,-0.10096766324469782,-0.06320887860390023,167.2695770263672,1069.4493408203125,mae,167.2695770263672,6
thp_20260426T060539Z,13,-0.10259890596691397,-0.06050091327400258,175.92242431640625,1182.028076171875,mae,175.92242431640625,6
thp_20260426T060539Z,14,-0.10495569423122474,-0.07360025474796701,135.79429626464844,877.8013916015625,mae,135.79429626464844,14
thp_20260426T060539Z,15,-0.10626988508851055,-0.06499390295824861,162.7616729736328,1062.35546875,mae,162.7616729736328,14
thp_20260426T060539Z,16,-0.1078751780002188,-0.0717035001333879,143.33587646484375,935.0198364257812,mae,143.33587646484375,14
thp_20260426T060539Z,17,-0.10910458916771239,-0.0769103940811005,126.11611938476562,825.5932006835938,mae,126.11611938476562,17
thp_20260426T060539Z,18,-0.10976300710440555,-0.0737759762682424,133.06080627441406,847.8084716796875,mae,133.06080627441406,17
thp_20260426T060539Z,19,-0.11009170991590686,-0.06831395370222978,155.1556396484375,1065.5037841796875,mae,155.1556396484375,17
thp_20260426T060539Z,20,-0.11062939961533162,-0.07934959544845673,118.53534698486328,761.7499389648438,mae,118.53534698486328,20
thp_20260426T060539Z,21,-0.11090506086227678,-0.07792993952762318,121.6318588256836,799.0603637695312,mae,121.6318588256836,20
thp_20260426T060539Z,22,-0.11163583381613847,-0.07930938570021413,117.51771545410156,737.9650268554688,mae,117.51771545410156,22
thp_20260426T060539Z,23,-0.11162000360975431,-0.07542892818495353,132.60687255859375,924.334716796875,mae,132.60687255859375,22
thp_20260426T060539Z,24,-0.11227090821344181,-0.07617533084140643,129.0469512939453,879.7453002929688,mae,129.0469512939453,22
thp_20260426T060539Z,25,-0.11278513563646088,-0.07646163935362367,127.0696029663086,829.7747802734375,mae,127.0696029663086,22
thp_20260426T060539Z,26,-0.1131081679431538,-0.07154059027319158,142.87579345703125,984.8143920898438,mae,142.87579345703125,22
thp_20260426T060539Z,27,-0.11315197714983047,-0.07910736735014388,116.27334594726562,794.8425903320312,mae,116.27334594726562,27
thp_20260426T060539Z,28,-0.11363964134211282,-0.07776061383310702,122.21731567382812,813.0872802734375,mae,122.21731567382812,27
thp_20260426T060539Z,29,-0.1136047499088832,-0.07733325005575896,122.45304870605469,782.6134643554688,mae,122.45304870605469,27
thp_20260426T060539Z,30,-0.11406364569271699,-0.07311780444662869,140.0432586669922,898.0543212890625,mae,140.0432586669922,27
thp_20260426T060539Z,31,-0.11436593777206558,-0.077833829406515,121.31837463378906,809.645263671875,mae,121.31837463378906,27
thp_20260426T060539Z,32,-0.11424278328065693,-0.07516978103865828,131.95481872558594,920.1466064453125,mae,131.95481872558594,27
thp_20260426T060539Z,33,-0.11452924061194117,-0.07982193921736468,117.09555053710938,749.99951171875,mae,117.09555053710938,27
thp_20260426T060539Z,34,-0.11439136633314896,-0.07326579192188877,138.27706909179688,959.8546752929688,mae,138.27706909179688,27
thp_20260426T060539Z,35,-0.11478952810445305,-0.0777521944921315,122.61032104492188,854.0017700195312,mae,122.61032104492188,27
thp_20260426T060539Z,36,-0.1151391146926785,-0.08052957639389051,111.04023742675781,754.966796875,mae,111.04023742675781,36
thp_20260426T060539Z,37,-0.11521477835115726,-0.08211131129263444,110.58699035644531,717.7283325195312,mae,110.58699035644531,37
